task,fold,model,attack,epsilon,clean_acc,clean_f1,adv_acc,adv_f1,acc_drop,asr,evasion_asr,snn_agreement,num_classes,num_features
multi,2,RF,DBA-style,0.3,0.6113731656184487,0.5103361933489069,0.6098008385744235,0.5088781203923013,0.0015723270440252124,0.0026749888542131075,0.00044583147570218456,0.9106394129979035,6,453
multi,2,DT,FGSM-SNN,0.05,0.5987945492662474,0.49880395555257784,0.4132599580712788,0.310468113550071,0.18553459119496862,0.31392174704276615,0.14012738853503184,0.8959643605870021,6,453
multi,2,DT,PGD-10-SNN,0.05,0.5987945492662474,0.49880395555257784,0.39544025157232704,0.28959991216783826,0.20335429769392038,0.3303002729754322,0.11555959963603275,0.8959643605870021,6,453
multi,2,DT,PGD-20-SNN,0.05,0.5987945492662474,0.49880395555257784,0.399895178197065,0.2976697909519191,0.19889937106918243,0.33166515013648773,0.10691537761601456,0.8959643605870021,6,453
multi,2,DT,BBA,0.05,0.5987945492662474,0.49880395555257784,0.3231132075471698,0.20238050812678912,0.2756813417190776,0.4390354868061874,0.09099181073703366,0.8959643605870021,6,453
multi,2,DT,DBA-style,0.05,0.5987945492662474,0.49880395555257784,0.330188679245283,0.20052669589111985,0.2686058700209644,0.4317561419472247,0.14422202001819837,0.8959643605870021,6,453
multi,2,DT,FGSM-SNN,0.1,0.5987945492662474,0.49880395555257784,0.39622641509433965,0.2936616501435024,0.20256813417190778,0.34986351228389445,0.2156505914467698,0.8959643605870021,6,453
multi,2,DT,PGD-10-SNN,0.1,0.5987945492662474,0.49880395555257784,0.384958071278826,0.2840695210478602,0.21383647798742145,0.35577797998180166,0.1191992720655141,0.8959643605870021,6,453
multi,2,DT,PGD-20-SNN,0.1,0.5987945492662474,0.49880395555257784,0.37945492662473795,0.2773110324127639,0.21933962264150947,0.362147406733394,0.13239308462238397,0.8959643605870021,6,453
multi,2,DT,BBA,0.1,0.5987945492662474,0.49880395555257784,0.32258909853249473,0.20158904398778402,0.2762054507337527,0.43994540491355777,0.11737943585077343,0.8959643605870021,6,453
multi,2,DT,DBA-style,0.1,0.5987945492662474,0.49880395555257784,0.3278301886792453,0.19591256317865532,0.27096436058700213,0.4353958143767061,0.16287534121929026,0.8959643605870021,6,453
multi,2,DT,FGSM-SNN,0.2,0.5987945492662474,0.49880395555257784,0.39360587002096437,0.28766936126872905,0.20518867924528306,0.34804367606915376,0.23930846223839855,0.8959643605870021,6,453
multi,2,DT,PGD-10-SNN,0.2,0.5987945492662474,0.49880395555257784,0.3776205450733753,0.2720356072828376,0.22117400419287214,0.36260236578707916,0.13102820746132848,0.8959643605870021,6,453
multi,2,DT,PGD-20-SNN,0.2,0.5987945492662474,0.49880395555257784,0.3689727463312369,0.2612202276262684,0.22982180293501053,0.3721565059144677,0.12283894449499545,0.8959643605870021,6,453
multi,2,DT,BBA,0.2,0.5987945492662474,0.49880395555257784,0.32258909853249473,0.2004302087648602,0.2762054507337527,0.43994540491355777,0.15286624203821655,0.8959643605870021,6,453
